lakeID,treatment,rep,incub_days,totalCH4_umol,totalCO2_umol
BH,algal,2,10.9583333333333,2.0488182073533,1.75634158733877
BH,algal,2,19.7916666666667,4.1353021226314,2.41602503320101
BH,algal,2,24.7916666666667,4.35244194168289,2.56745889848015
BH,algal,2,4.95833333333333,1.3763154221156,1.56152604073101
BH,algal,3,0,0.650427129803084,1.19313539589635
BH,algal,3,10.9583333333333,2.04395869303297,1.94390946129344
BH,algal,3,19.7916666666667,3.85431695283322,2.43629491541786
BH,algal,3,24.7916666666667,4.34082777434233,2.62801034210642
BH,algal,3,4.95833333333333,1.25798490019085,1.65722883332128
BH,algalBES,1,0,0.508614821738151,1.2728469246195
BH,algalBES,1,10.9583333333333,0.802816393952947,1.44284108270471
BH,algalBES,1,19.7916666666667,0.783305778246508,2.07161537784196
BH,algalBES,1,24.7916666666667,0.66671500602003,1.49752984641661
BH,algalBES,1,4.95833333333333,0.711370414654056,1.37510776670465
BH,algalBES,2,0,0.511143582367659,1.40016487292851
BH,algalBES,2,10.9583333333333,0.617325551326285,1.4473743687393
BH,algalBES,2,19.7916666666667,0.733397476108945,1.55918881037724
BH,algalBES,2,24.7916666666667,0.686994049029599,1.58888986730834
BH,algalBES,2,4.95833333333333,0.68741002353469,1.64466991358065
BH,algalBES,3,0,0.495360229145837,1.28461248204125
BH,algalBES,3,10.9583333333333,0.732088684365994,1.42682401678166
BH,algalBES,3,19.7916666666667,0.840638078806715,1.38369846304832
BH,algalBES,3,24.7916666666667,0.766166090097599,1.37045605945265
BH,algalBES,3,4.95833333333333,0.74786722688715,1.5410132094934
BH,BES,1,0,0.65138518067972,1.30368729842855
BH,BES,1,10.9583333333333,0.97651482329762,1.41086826390186
BH,BES,1,19.7916666666667,1.21395150377476,1.59607457146496
BH,BES,1,24.7916666666667,1.12675010303517,1.61527188635395
BH,BES,1,4.95833333333333,1.02720351758478,1.64585588383159
BH,BES,2,0,0.594132344740682,1.36806480265756
BH,BES,2,10.9583333333333,0.748230352097251,1.21888042703924
BH,BES,2,19.7916666666667,0.882497555481448,1.27372555270911
BH,BES,2,24.7916666666667,0.817803032141604,1.27869366160419
BH,BES,2,4.95833333333333,0.775159972963498,1.37954741671321
BH,BES,3,0,0.571774850120354,1.08586172537659
BH,BES,3,10.9583333333333,0.722069332001105,1.17305257323924
BH,BES,3,19.7916666666667,0.891461937529701,1.03101420581396
BH,BES,3,24.7916666666667,0.799119295484974,0.975044258072802
BH,BES,3,4.95833333333333,0.798526906625261,1.39837685864535
BH,control,1,0,0.554192158202928,1.00839447111634
